panel,signal,vehicle,estimator,gate,start,days,Sharpe,Martin,MaxDD,CAGR,RealVol,|vol-target|,TrackRMSE63,Turnover/yr,MeanW
P2 3x,SPY,UPRO,E0 EWMA c2c,none,2009-09-22,4264,0.7495356937460637,1.541584731478862,-0.3399493546316773,0.21065083050902933,0.2941345380437008,0.005865461956299167,0.05145588750276114,2.785813646183708,0.7290569158864312
P2 3x,SPY,UPRO,E0 EWMA c2c,trend,2009-09-22,4264,0.6994198106602632,1.2208385151388528,-0.32749878036316893,0.16904794709832838,0.2467507402643564,0.053249259735643595,0.14543242617944363,2.8967749481673324,0.5500647354912169
P2 3x,SPY,UPRO,E1 Yang-Zhang 21,none,2009-09-22,4264,0.7633924866786793,1.4178402117437219,-0.42343623677807407,0.22342831555636833,0.3082312876575391,0.00823128765753911,0.054914493443351274,2.5034248538603965,0.7614303909198928
P2 3x,SPY,UPRO,E1 Yang-Zhang 21,trend,2009-09-22,4264,0.7639864687418072,1.3349941121157456,-0.3347197502695314,0.19330767176338148,0.2558395038300596,0.04416049616994039,0.14470658378179332,2.6997936763761734,0.5692962075380781
P2 3x,SPY,UPRO,E2 Parkinson EWMA,none,2009-09-22,4264,0.7811584223989573,1.4246555338131959,-0.46253111830075944,0.25327286446538366,0.34983410061218967,0.04983410061218968,0.08713942324196759,1.656363350749849,0.8430154824820556
P2 3x,SPY,UPRO,E2 Parkinson EWMA,trend,2009-09-22,4264,0.7675263775903485,1.3314158207532527,-0.4007616469144166,0.21310060427711996,0.2874047499519259,0.012595250048074103,0.15062754624397087,2.2101413210753775,0.6272389426849218
P2 3x,SPY,UPRO,E3 K-ATR fast,none,2009-09-22,4264,0.8418043794212219,1.5690259522485708,-0.48816935739615763,0.2696545621723079,0.3330294843510766,0.03302948435107661,0.06369046049300335,6.368302706643489,0.8446680058897937
P2 3x,SPY,UPRO,E3 K-ATR fast,trend,2009-09-22,4264,0.8005410454975406,1.4020185867867068,-0.36989082550429386,0.21593279026166878,0.27345634666834545,0.026543653331654538,0.145530263142763,5.221395882067321,0.6236508002525212
P2 3x,SPY,UPRO,E4 Yang-Zhang EWMA,none,2009-09-22,4264,0.7290848483537239,1.3149698557849663,-0.4076064791953471,0.20472275153238195,0.296744203832621,0.003255796167378977,0.05884535699540287,2.1267445250462966,0.7299730630370174
P2 3x,SPY,UPRO,E4 Yang-Zhang EWMA,trend,2009-09-22,4264,0.7144056220462536,1.1559484499737351,-0.34737938885762465,0.1731910931007632,0.2464246690638329,0.05357533093616709,0.14691607189361738,2.460923983270886,0.5474066407003747
