vehicle,arm,episode,Sharpe,Martin,MaxDD,Turnover/yr,Flips/yr,group,Return,peak,trough,react_day,DD_before_reaction,days_peak_to_trough,w_at_peak,panel
P2 EDC,buy_hold,A_bull_2021,-0.16880120897565618,,-0.47720207253886016,,,calm_controls,-0.20824372759856602,2021-02-17,2021-12-20,,-0.47720207253886016,214.0,1.0,P2
P2 EDC,buy_hold,D_recent_2025plus,1.2227496146388086,,-0.4015981059485053,,,calm_controls,1.899819819819827,2025-03-17,2025-04-08,,-0.4015981059485053,17.0,1.0,P2
P2 TMF,incumbent,FULL,0.12044223259903723,0.06864044591478008,-0.5688658211613138,1.9825028420087452,1.6711639606677338,,,,,,,,,P2
P2 TMF,incumbent,E_bear_2018q4,,,0.0,,,modern_folds,0.012274106120414352,2018-09-04,2018-09-04,,0.0,1.0,0.0,P2
P2 TMF,incumbent,X_2020_covid,0.49073520364880857,,-0.24216805917614426,,,modern_folds,0.1055963949570673,2020-03-09,2020-12-04,2020-03-20,-0.1576097291225046,190.0,0.4035548162545647,P2
P2 TMF,incumbent,B_bear_2022,,,0.0,,,modern_folds,0.012881409782865116,2022-01-03,2022-01-03,,0.0,1.0,0.0,P2
P2 TMF,incumbent,E2011_eu_us,2.0427728656157442,,-0.11962689430352047,,,market_factor_A0_calendar,0.505864526005235,2011-10-03,2011-10-27,,-0.11962689430352047,19.0,0.3199387438951615,P2
P2 TMF,incumbent,E2015_16_china,0.04227686157046822,,-0.08243285300357195,,,market_factor_A0_calendar,-0.0004927738263292847,2015-08-24,2015-09-02,,-0.08243285300357195,8.0,0.6859656228573374,P2
P2 TMF,incumbent,K2013_14_bull,1.0154190259196,,-0.13415425258803748,,,calm_controls,0.32137281144671515,2014-08-29,2014-09-17,,-0.13415425258803748,13.0,1.0,P2
P2 TMF,incumbent,A_bull_2021,-1.8825731498890166,,-0.15781032708521392,,,calm_controls,-0.16068343808395913,2021-01-04,2021-02-08,2021-02-08,-0.15781032708521392,25.0,0.9237622325216953,P2
P2 TMF,incumbent,D_recent_2025plus,-0.5385809855492532,,-0.3076235466934585,,,calm_controls,-0.15810872865904313,2025-10-22,2026-08-17,,-0.3076235466934585,205.0,1.0,P2
P2 TMF,E_2s,FULL,0.1566771321495599,0.09842175150245344,-0.5134298708633354,2.040360375241944,1.786416647610336,,,,,,,,,P2
P2 TMF,E_2s,E_bear_2018q4,,,0.0,,,modern_folds,0.012274106120414352,2018-09-04,2018-09-04,,0.0,1.0,0.0,P2
