date,SPY,FCNTX
2022-12-01,522.6872448,27.00166116
2022-12-02,522.0842132,27.02087942
2022-12-05,512.6923171,26.54042282
2022-12-06,505.3019727,26.07918448
2022-12-07,504.4423319,26.05996621
2022-12-08,508.3941133,26.25214885
2022-12-09,504.5962974,26.02152968
2022-12-12,511.8711677,26.33835026
2022-12-13,515.7459664,26.54956397
2022-12-14,512.4485384,26.44395711
2022-12-15,499.9131798,25.72583048
2022-12-16,494.0386258,25.57798088
2022-12-19,489.8493453,25.30340305
2022-12-20,490.5196302,25.38788854
2022-12-21,497.8540936,25.81031597
2022-12-22,490.7516519,25.38788854
2022-12-23,493.5745824,25.55685951
2022-12-27,491.6281783,25.40900991
2022-12-28,485.5182738,25.11331071
2022-12-29,494.2577574,25.55685951
2022-12-30,492.9558579,25.53573814
2023-01-03,490.8805528,25.45125265
2023-01-04,494.6702404,25.55685951
2023-01-05,489.0243793,25.30340305
2023-01-06,500.2387609,25.7891946
2023-01-09,499.9551789,25.74695185
2023-01-10,503.4612844,26.00040831
2023-01-11,509.8289907,26.33835026
2023-01-12,511.6851642,26.50732123
2023-01-13,513.6702387,26.63404946
2023-01-17,512.7292618,26.5284426
2023-01-18,504.6342829,26.19050066
2023-01-19,500.9606062,26.0848938
2023-01-20,510.2930341,26.61292809
2023-01-23,516.4158287,26.90862729
2023-01-24,515.8615546,26.90862729
2023-01-25,516.054906,26.90862729
2023-01-26,521.7265473,27.24656923
2023-01-27,522.925326,27.33105472
2023-01-30,516.3642683,26.95087003
2023-01-31,523.9565335,27.39441883
2023-02-01,529.5250541,27.62675392
2023-02-02,537.2333302,28.3026378
2023-02-03,531.5230186,27.96469586
2023-02-06,528.274715,27.81684626
2023-02-07,535.1838053,28.23927369
2023-02-08,529.3317027,27.83796763
2023-02-09,524.7428293,27.58451117
2023-02-10,525.9673882,27.61830537
2023-02-13,532.1417431,27.96112374
2023-02-14,531.8968313,27.98254989
2023-02-15,533.6241039,27.98254989
2023-02-16,526.2767504,27.57545307
2023-02-17,524.9619609,27.44689618
2023-02-21,514.4307542,26.97552091
2023-02-22,513.7217991,26.95409477
2023-02-23,516.4544989,27.10407781
2023-02-24,510.9375388,26.82553788
2023-02-27,512.6777015,26.88981632
2023-02-28,510.7828577,26.88981632
2023-03-01,508.8235634,26.82553788
2023-03-02,512.7808222,27.03979936
2023-03-03,521.0047021,27.51117463
2023-03-06,521.3656247,27.55402692
2023-03-07,513.3737665,27.2326347
2023-03-08,514.2116226,27.27548699
2023-03-09,504.7245136,26.82553788
2023-03-10,497.4416106,26.50414565
2023-03-13,496.7326554,26.50414565
2023-03-14,504.9436452,27.03979936
2023-03-15,501.7855722,26.84696402
2023-03-16,510.5895063,27.44689618
2023-03-17,504.6422748,27.12550395
2023-03-20,509.4947288,27.33976544
2023-03-21,516.1846453,27.74686226
2023-03-22,507.3855288,27.40404388
2023-03-23,508.7571558,27.61830537
2023-03-24,512.0956441,27.72543611
2023-03-27,513.053195,27.72543611
2023-03-28,511.9015459,27.63973152
2023-03-29,519.3419754,27.98254989
2023-03-30,522.3828465,28.15395908
2023-03-31,529.7456367,28.47535131
2023-04-03,531.7642576,28.71103894
2023-04-04,528.8139656,28.6039082
2023-04-05,527.4293987,28.49677746
2023-04-06,529.4868392,28.66818664
2023-04-10,530.030314,28.68961279
2023-04-11,530.1726527,28.64676049
2023-04-12,528.0116932,28.58248205
2023-04-13,535.0251067,29.05385732
2023-04-14,533.7181791,29.05385732
2023-04-17,535.6332809,29.01100502
2023-04-18,535.9826576,29.03243117
2023-04-19,535.8920784,28.94672657
2023-04-20,532.9676662,28.86102198
2023-04-21,533.3817423,28.88244813
2023-04-24,533.938157,28.90387428
2023-04-25,525.4625373,28.41107286
2023-04-26,523.2368785,28.45392516
2023-04-27,533.6534797,29.24669265
2023-04-28,538.2083165,29.39667569
2023-05-01,537.6648416,29.43952799
2023-05-02,531.6219189,29.11813576
2023-05-03,527.9728735,28.94672657
2023-05-04,524.233249,28.73246509
2023-05-05,533.938157,29.16098806
2023-05-08,534.0804956,29.24669265
2023-05-09,531.7383778,29.18241421
2023-05-10,534.2228343,29.2681188
2023-05-11,533.2911631,29.3109711
2023-05-12,532.5924097,29.2252665
2023-05-15,534.4298723,29.41810184
2023-05-16,530.8584662,29.33239725
2023-05-17,537.3025251,29.65378947
2023-05-18,542.478476,29.9751817
2023-05-19,541.6891435,29.91090325
2023-05-22,541.9091214,29.88947711
2023-05-23,535.8273791,29.54665873
2023-05-24,531.9454159,29.43952799
2023-05-25,536.5520122,29.80377251
2023-05-26,543.5007263,30.27514778
2023-05-30,543.7077643,30.31800007
2023-05-31,540.6927729,30.14659089
2023-06-01,545.8299042,30.55368771
2023-06-02,553.7232294,30.89650608
2023-06-05,552.6621594,30.83222764
2023-06-06,553.865568,30.91793223
2023-06-07,551.9504662,30.57511386
2023-06-08,555.2889545,30.81080149
2023-06-09,556.2853251,30.85365379
2023-06-12,561.3318772,31.17504601
2023-06-13,565.0326821,31.3464552
