vehicle,arm,episode,Sharpe,CAGR,Martin,MaxDD,MeanW,Turnover/yr,group,Return,peak,trough,react_day,DD_before_reaction,days_peak_to_trough,w_at_peak,panel
P2 TNA,buy_hold,A_bull_2021,0.7020249924302705,,,-0.34146114471847344,,,calm_controls,0.2787193973634652,2021-11-08,2021-12-20,,-0.34146114471847344,30.0,1.0,P2
P2 TNA,buy_hold,D_recent_2025plus,0.7339154831692152,,,-0.5880947208342384,,,calm_controls,0.6729468599033803,2025-01-21,2025-04-08,,-0.5880947208342384,55.0,1.0,P2
P2 EDC,incumbent,FULL,0.23844279520958758,0.04312301225256099,0.13574251382199207,-0.5228348350389247,0.3152838327581816,2.682102077626871,,,,,,,,,P2
P2 EDC,incumbent,E_bear_2018q4,,,,0.0,,,modern_folds,0.012274106120414352,2018-09-04,2018-09-04,,0.0,1.0,0.0,P2
P2 EDC,incumbent,X_2020_covid,1.5444925207571887,,,-0.1731881723312716,,,modern_folds,0.35913958056960116,2020-02-12,2020-06-11,2020-03-02,-0.13345291440824336,84.0,0.49764782900355903,P2
P2 EDC,incumbent,B_bear_2022,,,,0.0,,,modern_folds,0.012881409782865116,2022-01-03,2022-01-03,,0.0,1.0,0.0,P2
P2 EDC,incumbent,E2011_eu_us,-2.0260666390063786,,,-0.337142106608306,,,market_factor_A0_calendar,-0.32684517018651305,2011-05-02,2011-09-22,2011-08-09,-0.2756196440424198,101.0,0.5109390665519562,P2
P2 EDC,incumbent,E2015_16_china,0.2862924255387102,,,-0.047305074981789264,,,market_factor_A0_calendar,0.012615313351384216,2015-06-01,2016-03-15,,-0.047305074981789264,200.0,0.0,P2
P2 EDC,incumbent,K2013_14_bull,-1.0104220922416225,,,-0.26755105872915463,,,calm_controls,-0.22474960515214693,2013-01-02,2013-06-12,2013-03-18,-0.1414282326295332,112.0,0.8637093151852135,P2
P2 EDC,incumbent,A_bull_2021,-0.47461517424340915,,,-0.3040629623221782,,,calm_controls,-0.1639540134092583,2021-02-17,2021-11-29,2021-11-29,-0.3040629623221782,199.0,0.4566302884392336,P2
P2 EDC,incumbent,D_recent_2025plus,1.2039728408297206,,,-0.22607587804660656,,,calm_controls,0.8735590984462716,2025-02-20,2025-04-08,2025-04-08,-0.22607587804660656,34.0,0.6793319057717853,P2
